"HS2","HS2ID","HS4","HS4ID","Section","SectionID","TradeValue","Year"
"Animal or vegetable fats and oils and their cleavage products",315,"Ground Nut Oil",31508,"Animal and Vegetable Bi-Products",3,435,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Pure Olive Oil",31509,"Animal and Vegetable Bi-Products",3,89111,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Olive Oil",31510,"Animal and Vegetable Bi-Products",3,18.000000000000004,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Palm Oil",31511,"Animal and Vegetable Bi-Products",3,113162518,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Seed Oils",31512,"Animal and Vegetable Bi-Products",3,341841,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Coconut Oil",31513,"Animal and Vegetable Bi-Products",3,16282956,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Rapeseed Oil",31514,"Animal and Vegetable Bi-Products",3,1476,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Other Pure Vegetable Oils",31515,"Animal and Vegetable Bi-Products",3,187429,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Other Vegetable Oils",31516,"Animal and Vegetable Bi-Products",3,240021,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Margarine",31517,"Animal and Vegetable Bi-Products",3,9619740,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Inedible Fats and Oils",31518,"Animal and Vegetable Bi-Products",3,89500,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Stearic Acid",31519,"Animal and Vegetable Bi-Products",3,759185,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Glycerol",31520,"Animal and Vegetable Bi-Products",3,11825,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Waxes",31521,"Animal and Vegetable Bi-Products",3,119686,2019
"Exports",1,"Animal or vegetable fats and oils and their cleavage products",315,"Animal or vegetable fats and oils and their cleavage products",1,1,2019
"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",416,"Sausages",41601,"Foodstuffs",4,12241793,2019
"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",416,"Other Prepared Meat",41602,"Foodstuffs",4,8464777,2019
"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",416,"Processed Fish",41604,"Foodstuffs",4,28881221,2019
"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",416,"Processed Crustaceans",41605,"Foodstuffs",4,326071,2019
"Exports",1,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",1,1,2019
"Sugars and sugar confectionery",417,"Raw Sugar",41701,"Foodstuffs",4,78288385,2019
"Sugars and sugar confectionery",417,"Other Sugars",41702,"Foodstuffs",4,974797,2019
"Sugars and sugar confectionery",417,"Molasses",41703,"Foodstuffs",4,1292,2019
